udate	route	stid	stname	ptnum	pdnum	regd
20190301	2호선	0227	낙성대	22821	20472	20190304
20190301	2호선	0228	서울대입구(관악구청)	42193	40097	20190304
20190301	2호선	0229	봉천	18081	16336	20190304
20190301	2호선	0230	신림	58107	55383	20190304
20190301	2호선	0231	신대방	22437	20738	20190304
20190301	2호선	0232	구로디지털단지	40700	39766	20190304
20190301	2호선	0233	대림(구로구청)	22470	23353	20190304
20190301	2호선	0234	신도림	48635	49104	20190304
20190301	2호선	0235	문래	10810	10879	20190304
20190301	2호선	0236	영등포구청	11760	12216	20190304
20190301	2호선	0237	당산	14896	15737	20190304
20190301	2호선	0238	합정	29383	33024	20190304
20190301	2호선	0239	홍대입구	95022	108251	20190304
20190301	2호선	0240	신촌	43291	45042	20190304
20190301	2호선	0241	이대	16200	16924	20190304
20190301	2호선	0242	아현	8320	7798	20190304
20190301	2호선	0243	충정로(경기대입구)	8068	7695	20190304
20190301	2호선	0244	용답	2046	1995	20190304
20190301	2호선	0245	신답	1053	1095	20190304
20190301	2호선	0246	신설동	4522	3864	20190304
20190301	2호선	0247	도림천	704	699	20190304
20190301	2호선	0248	양천구청	4751	4841	20190304
20190301	2호선	0249	신정네거리	7426	7502	20190304
20190301	2호선	0250	용두(동대문구청)	1956	1908	20190304
20190301	3호선	0309	지축	996	1120	20190304
20190301	3호선	0310	구파발	16494	16204	20190304
20190301	3호선	0311	연신내	34274	32832	20190304
20190301	3호선	0312	불광	15779	18247	20190304
20190301	3호선	0313	녹번	10688	9280	20190304
20190301	3호선	0314	홍제	16132	15459	20190304
20190301	3호선	0315	무악재	3294	3300	20190304
20190301	3호선	0316	독립문	29028	33206	20190304
20190301	3호선	0317	경복궁(정부서울청사)	35702	34402	20190304
20190301	3호선	0318	안국	28232	27579	20190304
20190301	3호선	0319	종로3가	8946	15709	20190304
20190301	3호선	0320	을지로3가	7390	7147	20190304
20190301	3호선	0321	충무로	2	0	20190304
20190301	3호선	0322	동대입구	12625	13722	20190304
20190301	3호선	0323	약수	10187	9724	20190304
20190301	3호선	0324	금호	6648	5772	20190304
20190301	3호선	0325	옥수	7543	7778	20190304
20190301	3호선	0326	압구정	21084	22802	20190304
20190301	3호선	0327	신사	24327	26114	20190304
20190301	3호선	0328	잠원	4150	4033	20190304
20190301	3호선	0329	고속터미널	72337	75144	20190304
20190301	3호선	0330	교대(법원.검찰청)	6641	4325	20190304
20190301	3호선	0331	남부터미널(예술의전당)	28459	29103	20190304
20190301	3호선	0332	양재(서초구청)	20964	22688	20190304
20190301	3호선	0333	매봉	5538	5201	20190304
20190301	3호선	0334	도곡	3246	3292	20190304
20190301	3호선	0335	대치	8590	7964	20190304
20190301	3호선	0336	학여울	3479	3682	20190304
20190301	3호선	0337	대청	6073	5346	20190304
20190301	3호선	0338	일원	4517	4574	20190304
20190301	3호선	0339	수서	13786	13511	20190304
20190301	3호선	0340	가락시장	6953	6841	20190304
20190301	3호선	0341	경찰병원	4351	4094	20190304
20190301	3호선	0342	오금	4170	3710	20190304
20190301	4호선	0409	당고개	10775	10108	20190304
20190301	4호선	0410	상계	16571	14805	20190304
20190301	4호선	0411	노원	19526	22045	20190304
20190301	4호선	0412	창동	22689	23819	20190304
20190301	4호선	0413	쌍문	26035	22397	20190304
20190301	4호선	0414	수유(강북구청)	31443	31004	20190304
20190301	4호선	0415	미아(서울사이버대학)	13129	11780	20190304
20190301	4호선	0416	미아사거리	25316	24379	20190304
20190301	4호선	0417	길음	17025	15694	20190304
20190301	4호선	0418	성신여대입구(돈암)	20786	19680	20190304
20190301	4호선	0419	한성대입구(삼선교)	12516	12127	20190304
20190301	4호선	0420	혜화	42650	43324	20190304
20190301	4호선	0421	동대문	31502	29802	20190304
20190301	4호선	0422	동대문역사문화공원	24476	21427	20190304
20190301	4호선	0423	충무로	20374	18388	20190304
20190301	4호선	0424	명동	40814	43476	20190304
20190301	4호선	0425	회현(남대문시장)	37699	37422	20190304
20190301	4호선	0426	서울역	10285	25164	20190304
20190301	4호선	0427	숙대입구(갈월)	11132	10569	20190304
20190301	4호선	0428	삼각지	3167	4238	20190304
20190301	4호선	0429	신용산	11582	12281	20190304
20190301	4호선	0430	이촌(국립중앙박물관)	10173	10887	20190304
20190301	4호선	0431	동작(현충원)	2174	2366	20190304
20190301	4호선	0432	총신대입구(이수)	16811	18342	20190304
20190301	4호선	0433	사당	24492	20974	20190304
20190301	4호선	0434	남태령	1384	725	20190304
20190301	경부선	1001	서울역	7831	1445	20190304
20190301	경부선	1002	남영	7187	7455	20190304
20190301	경부선	1003	용산	46429	51170	20190304
20190301	경부선	1004	노량진	13834	12070	20190304
20190301	경부선	1005	대방	10220	10263	20190304
20190301	경부선	1006	영등포	52006	56028	20190304
20190301	경부선	1007	신도림	3133	3215	20190304
20190301	경원선	1008	이촌(국립중앙박물관)	3390	2622	20190304
20190301	경원선	1009	서빙고	1426	1537	20190304
20190301	경원선	1010	한남	3612	3527	20190304
20190301	경원선	1011	옥수	26	37	20190304
20190301	경원선	1012	응봉	1447	1220	20190304
20190301	경원선	1013	왕십리(성동구청)	14802	16167	20190304
20190301	경원선	1014	청량리(서울시립대입구)	19553	21308	20190304
20190301	중앙선	1015	회기	24184	22933	20190304
20190301	경원선	1016	외대앞	8261	7633	20190304
20190301	경원선	1017	신이문	7678	6778	20190304
20190301	경원선	1018	석계	9036	9585	20190304
20190301	경원선	1019	광운대	6704	6498	20190304
20190301	경원선	1020	월계	4872	4419	20190304
20190301	경원선	1021	녹천	3990	3190	20190304
20190302	경원선	1022	창동	1	0	20190305
20190301	분당선	1023	선릉	3941	6813	20190304
20190301	분당선	1024	한티	10478	10494	20190304
20190301	분당선	1025	도곡	4015	3827	20190304
20190301	분당선	1026	구룡	931	870	20190304
20190301	분당선	1027	개포동	2080	2081	20190304
20190301	분당선	1028	대모산입구	1985	1916	20190304
20190301	분당선	1030	수서	10050	10689	20190304
20190312	분당선	1031	복정	2	0	20190315
20190301	경부선	1032	신길	7404	6133	20190304
20190301	중앙선	1201	중랑	4774	4524	20190304
20190301	중앙선	1202	상봉(시외버스터미널)	5459	4995	20190304
20190301	중앙선	1203	망우	7440	7213	20190304
20190301	중앙선	1204	양원	1063	1094	20190304
20190301	중앙선	1205	구리	12028	12838	20190304
20190301	중앙선	1206	도농	7240	6465	20190304
20190301	중앙선	1207	양정	689	640	20190304
20190301	중앙선	1208	덕소	5710	5485	20190304
20190301	중앙선	1209	도심	1927	1670	20190304
20190301	중앙선	1210	팔당	1407	1499	20190304
20190301	중앙선	1211	운길산	1161	1171	20190304
20190301	중앙선	1212	양수	2272	2315	20190304
20190301	중앙선	1213	신원	219	181	20190304
20190301	중앙선	1214	국수	718	778	20190304
20190301	중앙선	1215	아신	608	606	20190304
20190301	중앙선	1216	오빈	311	338	20190304
20190301	중앙선	1217	양평	2984	3291	20190304
20190301	중앙선	1218	원덕	439	479	20190304
20190301	중앙선	1219	용문	2804	3073	20190304
20190301	중앙선	1220	지평	38	49	20190304
20190301	경의선	1251	서울역	2337	2264	20190304
20190301	경의선	1252	신촌	618	604	20190304
20190301	경의선	1261	효창공원앞	1668	1689	20190304
20190301	경의선	1262	공덕	2539	1916	20190304
20190301	경의선	1263	서강대	1742	1672	20190304
20190301	경의선	1264	홍대입구	2389	3260	20190304
20190301	경의선	1265	가좌	4218	4009	20190304
20190301	경의선	1266	디지털미디어시티	1810	1529	20190304
20190301	경의선	1267	수색	1372	1385	20190304
20190301	경의선	1268	화전	1378	1708	20190304
20190301	경의선	1269	강매	1902	1741	20190304
20190301	경의선	1270	행신	5832	5719	20190304
20190301	경의선	1271	능곡	2985	2840	20190304
20190301	경의선	1272	곡산	400	356	20190304
20190301	경의선	1273	백마	4684	4227	20190304
20190301	경의선	1274	풍산	4282	4083	20190304
20190301	경의선	1275	일산	6437	6183	20190304
20190301	경의선	1276	탄현	6089	5839	20190304
20190301	경의선	1277	야당	4170	3898	20190304
20190301	경의선	1278	운정	4902	4603	20190304
20190301	경의선	1279	금릉	4008	3908	20190304
20190301	경의선	1280	금촌	7386	6534	20190304
20190301	경의선	1282	월롱	1699	1374	20190304
20190301	경의선	1283	파주	1176	782	20190304
20190301	경의선	1284	문산	6198	5515	20190304
20190301	경의선	1291	서울역	5	0	20190304
20190302	경의선	1294	디지털미디어시티	1	0	20190305
20190312	경의선	1295	김포공항	2	0	20190315
20190311	경의선	1296	계양	1	0	20190314
20190315	경의선	1297	검암	1	0	20190318
20190301	경춘선	1311	신내	531	526	20190304
20190301	경춘선	1312	갈매	1795	1668	20190304
20190301	경춘선	1313	별내	2100	2103	20190304
20190301	경춘선	1314	퇴계원	2826	2598	20190304
20190301	경춘선	1315	사릉	2753	2540	20190304
20190301	경춘선	1316	금곡	1219	1145	20190304
20190301	경춘선	1317	평내호평	4794	4619	20190304
20190301	경춘선	1318	천마산	1439	1343	20190304
20190301	경춘선	1319	마석	3319	3189	20190304
20190301	경춘선	1320	대성리	935	1181	20190304
20190301	경춘선	1321	청평	2039	2259	20190304
20190301	경춘선	1322	상천	393	325	20190304
20190301	경춘선	1323	가평	2425	2822	20190304
20190301	경춘선	1324	굴봉산	184	231	20190304
20190301	경춘선	1325	백양리	307	296	20190304
20190301	경춘선	1326	강촌	837	878	20190304
20190301	경춘선	1327	김유정	924	1099	20190304
20190301	경춘선	1328	남춘천	3913	4104	20190304
20190301	경춘선	1329	춘천	3640	2940	20190304
20190301	장항선	1401	봉명	889	758	20190304
20190301	장항선	1402	쌍용(나사렛대)	1758	1594	20190304
20190301	장항선	1403	아산	2949	2961	20190304
20190301	장항선	1405	배방	1079	974	20190304
20190301	장항선	1407	온양온천	5924	6239	20190304
20190301	장항선	1408	신창(순천향대)	1428	1379	20190304
20190301	과천선	1450	선바위	6084	4949	20190304
20190301	과천선	1451	경마공원	10186	10459	20190304
20190301	과천선	1452	대공원	6692	6960	20190304
20190301	과천선	1453	과천	4106	3590	20190304
20190301	과천선	1454	정부과천청사	6396	6107	20190304
20190301	과천선	1455	인덕원	18003	17126	20190304
20190301	과천선	1456	평촌	10109	9692	20190304
20190301	과천선	1457	범계	23836	23368	20190304
20190301	경강선	1501	판교	2511	2455	20190304
20190301	경강선	1502	이매	873	636	20190304
20190301	경강선	1503	삼동	1371	1181	20190304
20190301	경강선	1504	경기광주	5068	4698	20190304
20190301	경강선	1505	초월	1973	1812	20190304
20190301	경강선	1506	곤지암	1747	1759	20190304
20190301	경강선	1507	신둔도예촌	929	938	20190304
20190301	경강선	1508	이천	2489	2519	20190304
20190301	경강선	1509	부발	1600	1275	20190304
20190301	경강선	1510	세종대왕릉	312	332	20190304
20190301	경강선	1511	여주	2109	2316	20190304
20190301	경부선	1701	구로	15115	15522	20190304
20190301	경부선	1702	가산디지털단지	7118	9213	20190304
20190301	경부선	1703	금천구청	9644	9444	20190304
20190301	경부선	1704	석수	8558	7983	20190304
20190301	경부선	1705	관악	7195	6819	20190304
20190301	경부선	1706	안양	23046	22717	20190304
20190301	경부선	1707	명학	6299	6041	20190304
20190301	경부선	1708	금정	20251	20022	20190304
20190301	경부선	1709	군포	5142	4620	20190304
20190301	경부선	1710	의왕	6286	6084	20190304
20190301	경부선	1711	성균관대	13151	11889	20190304
20190301	경부선	1712	화서	6534	6309	20190304
20190301	경부선	1713	수원	47116	50425	20190304
20190301	경부선	1714	독산	10138	9951	20190304
20190301	경부선	1715	세류	3747	3764	20190304
20190301	경부선	1716	병점	13478	13101	20190304
20190301	경부선	1717	세마	2652	2340	20190304
20190301	경부선	1718	오산대	2709	2430	20190304
20190301	경부선	1719	오산	10214	9269	20190304
20190301	경부선	1720	진위	1241	1093	20190304
20190301	경부선	1721	송탄	4680	4516	20190304
20190301	경부선	1722	서정리	4358	4057	20190304
20190301	경부선	1723	지제	2130	2114	20190304
20190301	경부선	1724	평택	13836	13241	20190304
20190301	경부선	1725	성환	3540	3076	20190304
20190301	경부선	1726	직산	833	800	20190304
20190301	경부선	1727	두정	4986	5325	20190304
20190301	경부선	1728	천안	8214	8430	20190304
20190301	경부선	1729	당정	5025	4677	20190304
20190301	경부선	1749	서동탄	1525	1556	20190304
20190301	경부선	1750	광명	2604	2363	20190304
20190301	안산선	1751	산본	14303	15316	20190304
20190301	안산선	1752	대야미	3738	3181	20190304
20190301	안산선	1753	반월	4071	3583	20190304
20190301	안산선	1754	상록수	16184	15475	20190304
20190301	안산선	1755	한대앞	6766	6476	20190304
20190301	안산선	1756	중앙	15872	17174	20190304
20190301	안산선	1757	고잔	6428	6271	20190304
20190301	안산선	1758	초지	2744	2904	20190304
20190301	안산선	1759	안산	12790	12074	20190304
20190301	안산선	1760	신길온천	1522	1385	20190304
20190301	안산선	1761	정왕	6726	6507	20190304
20190301	안산선	1762	오이도	9472	9457	20190304
20190301	안산선	1763	수리산	3084	2640	20190304
20190301	경인선	1801	개봉	20039	19509	20190304
20190301	경인선	1802	오류동	9902	9257	20190304
20190301	경인선	1803	역곡	24120	23149	20190304
20190301	경인선	1804	부천	36357	37164	20190304
20190301	경인선	1805	송내	23940	23081	20190304
20190301	경인선	1806	부평	37658	42088	20190304
20190301	경인선	1807	백운	6715	6474	20190304
20190301	경인선	1808	동암	15298	15062	20190304
20190301	경인선	1809	주안	19595	17155	20190304
20190301	경인선	1810	제물포	8085	7582	20190304
20190301	경인선	1811	동인천	17219	16041	20190304
20190301	경인선	1812	인천	6902	6319	20190304
20190301	경인선	1813	구일	4969	4650	20190304
20190301	경인선	1814	소사	9915	9229	20190304
20190301	경인선	1815	부개	7516	6889	20190304
20190301	경인선	1816	간석	4985	4645	20190304
20190301	경인선	1817	도원	2719	2988	20190304
20190301	경인선	1821	온수(성공회대입구)	5465	5287	20190304
20190301	경인선	1822	중동	7503	6951	20190304
20190301	경인선	1823	도화	3260	2980	20190304
20190301	분당선	1846	수원	7992	5527	20190304
20190301	분당선	1847	서울숲	5932	6058	20190304
20190301	분당선	1848	압구정로데오	13140	15388	20190304
20190301	분당선	1849	강남구청	4867	5911	20190304
20190301	분당선	1850	선정릉	3331	3480	20190304
20190301	분당선	1851	가천대	4876	5359	20190304
20190301	분당선	1852	태평	11347	10659	20190304
20190301	분당선	1853	모란	17403	17367	20190304
20190301	분당선	1854	야탑	21471	22669	20190304
20190301	분당선	1855	서현	22455	22972	20190304
20190301	분당선	1856	수내	9571	9263	20190304
20190301	분당선	1857	정자	10720	10965	20190304
20190301	분당선	1858	미금	11712	12392	20190304
20190301	분당선	1859	오리	8828	7253	20190304
20190301	분당선	1860	이매	4617	4367	20190304
20190301	분당선	1861	보정	1731	1450	20190304
20190301	분당선	1862	죽전	12184	13820	20190304
20190301	분당선	1863	구성	3622	3637	20190304
20190301	분당선	1864	신갈	3240	3106	20190304
20190301	분당선	1865	기흥	7594	7305	20190304
20190301	분당선	1866	상갈	4757	4431	20190304
20190301	분당선	1867	청명	2910	2744	20190304
20190301	분당선	1868	영통	7748	7842	20190304
20190301	분당선	1869	망포	9592	8678	20190304
20190301	분당선	1870	매탄권선	3378	3074	20190304
20190301	분당선	1871	수원시청	10001	11848	20190304
20190301	분당선	1872	매교	1584	1623	20190304
20190301	수인선	1878	달월	58	61	20190304
20190301	수인선	1879	월곶	2143	2000	20190304
20190301	수인선	1880	소래포구	5772	5879	20190304
20190301	수인선	1881	인천논현	4798	5054	20190304
20190301	수인선	1882	호구포	2484	2350	20190304
20190301	수인선	1883	남동인더스파크	1031	979	20190304
20190301	수인선	1884	원인재	3816	3741	20190304
20190301	수인선	1885	연수	4454	4482	20190304
20190301	수인선	1886	송도	2377	2344	20190304
20190301	수인선	1888	인하대	4032	3903	20190304
20190301	수인선	1889	숭의	2760	2514	20190304
20190301	수인선	1890	신포	1965	1811	20190304
20190301	수인선	1891	인천	2013	3672	20190304
20190301	경원선	1901	방학	8111	7945	20190304
20190301	경원선	1902	도봉	5083	4691	20190304
20190301	경원선	1903	도봉산	8958	6102	20190304
20190301	경원선	1904	망월사	6447	6468	20190304
20190301	경원선	1905	회룡	10938	10547	20190304
20190301	경원선	1906	의정부	21084	22683	20190304
20190301	경원선	1907	가능	5845	5357	20190304
20190301	경원선	1908	녹양	4173	3832	20190304
20190301	경원선	1909	양주	7752	6720	20190304
20190301	경원선	1910	덕계	1660	1561	20190304
20190301	경원선	1911	덕정	5329	4991	20190304
20190301	경원선	1912	지행	6464	6310	20190304
